DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,DPTO,MES,fex_c_2018,RAMA4DP8_R4
5333817,1,1,1,60,52,52,2,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2020,1,1800000,1,,3,,8,1,2,2,0,0,3,6,2,64,,.,40,6,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,6,60,1,,2,,,,,,,,10,11,10,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,6,,41,47,1,5,4771,1800000,52,01,32.688740393,
5333817,1,2,1,60,52,52,1,1,,,1,,1,2,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,600000,1,,1,,8,2,,,,,1,10,2,48,,.,32,6,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,11,9,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,41,47,1,4,4772,600000,52,01,32.688740393,
5333818,1,1,1,60,52,52,2,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2020,1,1500000,1,,3,,10,1,2,2,0,0,3,6,2,54,,.,42,6,,2,7,,1,,3,,,,,.,,,,,,,,,2,2,1,3,240,2,,2,,,,,,,,4,3,3,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,21,10,1,5,1081,1500000,52,01,31.532325832,
5333819,1,1,1,60,52,52,1,2,1,,1,,1,1,1,1,12,,5,,1,2000000,2,,,2,,2,,1,260000,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1000000,1,2000000,1,1000000,2,,2,,2,,,.,,,,,,,,,.,10,,,,,,,,,48,,.,48,,,9,7,,1,,1,2,1,5,1,1,,,,,,,,,1,1,1,0,24,1,,2,,,,,,,,1,7,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,21,42,1,1,4290,2000000,52,01,11.099102564,
5334404,1,1,1,60,52,52,1,1,,,1,,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,650000,1,,3,,6,2,,,,,1,1,1,54,,.,42,6,,5,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,6,9,1,,2,,,,,,,,1,12,10,1,2,,,,1,1,1,1,2,1,2,2,1,1,2,,1,1,2,2,2,2,2,1,3,,41,47,1,4,4771,650000,52,01,11.099102564,
5334405,1,1,1,60,52,52,1,2,2,12,1,,2,2,1,2,26,,1,,2,1000000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,1,300000,2,2,,1,500000,2,,2,,2,,2,,,.,,,,,,,,,.,9,,,,,,,,,54,,.,42,6,,2,7,,1,,1,2,1,8,1,1,,,,,,,,,2,2,1,8,6,1,,2,,,,,,,,3,11,20,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,40,47,1,1,4771,1000000,52,01,11.099102564,
5334406,1,1,1,60,52,52,2,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,1800000,1,,3,,6,2,,,,,2,4,1,48,,.,28,6,,1,7,,1,,1,2,2,18,1,1,,,,,,,,,2,2,1,2,84,1,,2,,,,,,,,10,11,16,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,2,,41,46,1,4,4631,1800000,52,01,13.753579868,
5334643,1,1,1,60,52,52,2,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,1,1500000,1,,3,,10,1,2,2,0,0,2,9,2,56,,.,32,6,,2,8,,2,,2,,,,1,,,1,1,,,,,,2,2,1,2,120,4,,2,,,,,,,,10,9,60,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,61,01,1,5,0122,1500000,52,01,13.753579868,
5334644,1,1,1,60,52,52,1,2,1,,1,,1,1,1,1,12,,2,,2,4000000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,1,1500000,2,1,2000000,1,2000000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,60,,.,60,,,9,7,,1,,1,1,1,2,1,1,,,,,,,,,1,1,1,10,6,1,,2,,,,,,,,1,8,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,5,,42,47,1,1,4792,4000000,52,01,11.099102564,
5334646,1,1,1,60,52,52,1,2,2,3,1,,1,2,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,3000000,1,,3,,10,2,,,,,1,1,1,48,,.,48,,,8,7,,1,,1,2,2,10,1,1,,,,,,,,,1,2,1,0,36,1,,2,,,,,,,,3,12,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,2,,13,94,1,4,9499,3000000,52,01,11.099102564,
